Date,Close,High,Low,Open,Volume,simple_return,log_return
2021-01-04,342.4369201660156,348.62101162593734,338.75060828235917,348.49100217915696,110210800,,
2021-01-05,344.7954406738281,345.8818471316903,341.7498244688002,341.7962685644844,66426200,0.006887459759505665,0.006863849556092224
2021-01-06,346.8567810058594,350.04170094295614,342.743347597711,343.29118386394964,107997700,0.00597844428569827,0.005960644296589406
2021-01-07,352.0102233886719,352.75304553896814,349.0481726001441,349.22459781978796,68766800,0.014857551199858099,0.014748258999199727
2021-01-08,354.0158386230469,354.2293850911422,350.1531015213458,353.3937031789076,71677200,0.005697605072567669,0.0056814351117460945
2021-01-11,351.6295166015625,353.3844459686813,350.72882987062206,350.84954484541544,51034700,-0.006740721067074351,-0.006763542339697479
2021-01-12,351.7037658691406,352.71587302635754,349.4659767403623,351.8152146876118,52547700,0.000211157664736783,0.00021113537409493248
2021-01-13,352.6509094238281,353.64442764556827,350.8495360073249,351.62950774382404,45303600,0.0026930151070372332,0.0026893954389448052
2021-01-14,351.41595458984375,353.8951738961369,351.08169311224,353.39375334288167,49989100,-0.003501918755865585,-0.0035080648262398404
2021-01-15,348.8531799316406,350.59881478443,346.9960962553196,349.800282405299,107160000,-0.007292710034165317,-0.007319431839500459
2021-01-19,351.59234619140625,352.13091630295105,349.8281224423444,351.3045005009363,51233300,0.007851917131162178,0.007821251249223242
2021-01-20,356.45794677734375,357.2936287805517,353.4866015027723,353.87657321374,61836100,0.013838755702857863,0.013743874479762799
2021-01-21,356.78289794921875,357.44218304043847,355.86365062010475,357.0150334029827,47840100,0.0009116115233587241,0.0009111962579286351
2021-01-22,355.52008056640625,356.68075778914084,354.55438918277406,354.9350947122526,52860500,-0.003539456039151956,-0.0035457347334984005
2021-01-25,356.9221496582031,357.2749716933398,351.4158759647186,356.2535985157263,70402000,0.003943712798340826,0.0039359567480918055
2021-01-26,356.36505126953125,358.2778450349725,356.1329158287073,357.86928439217473,42665300,-0.0015608400577138415,-0.0015620594375598384
2021-01-27,347.6553955078125,353.14308184233016,345.4269004912862,353.05022197979747,123351100,-0.0244402635182408,-0.024743884010925143
2021-01-28,350.645263671875,354.6379822958076,349.02960991918064,349.46599738570745,94198100,0.008600091362584106,0.008563321244049214
2021-01-29,343.62548828125,349.75387014169314,341.95409595375736,348.7881786860428,126765100,-0.020019592784786377,-0.02022270015491201
2021-02-01,349.34527587890625,350.375943628793,343.9133009262217,347.01462699809997,75817600,0.01664541133507158,0.016508394849122476
2021-02-02,354.2850646972656,355.83574176244537,349.42880987347587,352.52084118245415,64450700,0.014140133442284375,0.014041094281466143
2021-02-03,354.5636901855469,356.2814981741382,353.2915924599428,355.11152644432576,52427100,0.0007864443524294717,0.0007861352671113902
2021-02-04,358.5935363769531,358.63995212915546,354.67508910571235,355.59433635934124,47142600,0.011365648268432116,0.011301544551078603
2021-02-05,360.0049133300781,360.71061412663744,358.54712432112404,360.4599180558391,48669800,0.003935868357764605,0.003928143091685435
2021-02-08,362.6048889160156,362.6513046740329,360.59923510850524,361.4534777465929,38365200,0.007222055837759145,0.007196101679167374
2021-02-09,362.3634338378906,362.95771418565323,361.3606211720995,361.769153490128,35551100,-0.0006658902996228289,-0.0006661121030383558
2021-02-10,362.20562744140625,364.24843104388964,359.81000170472225,364.09986093308623,59154400,-0.00043549205507020794,-0.0004355869092750573
2021-02-11,362.7905578613281,363.7005390243798,360.3670773709089,363.2826838806573,42913300,0.0016149125679072451,0.0016136099987745336
2021-02-12,364.5826721191406,364.82407372216704,361.91773330512245,361.9920325190132,50593300,0.0049398040246062536,0.004927643224243409
2021-02-16,364.266845703125,366.0032422378084,363.5518788972011,365.8082281060511,50972400,-0.0008662683121495318,-0.0008666437393733128
2021-02-17,364.35052490234375,364.6012209832248,361.5091609681263,362.52129645099154,52290600,0.00022971950427508325,0.0002296931227899115
2021-02-18,362.7998046875,363.542626693373,360.0327402924635,361.7505480599932,59712800,-0.004256121808138946,-0.004265204876152733
2021-02-19,362.15911865234375,364.3411973179349,361.71340843442175,364.05335165745737,83241000,-0.0017659492284128886,-0.0017675103549357337
2021-02-22,359.3735046386719,361.77842431901905,359.1042196026477,359.4013597570989,67414200,-0.007691685422798744,-0.007721419000803337
2021-02-23,359.80999755859375,361.15639469065013,353.0316528102948,357.17294188013483,107284100,0.0012145940484975526,0.001213857025874725
2021-02-24,363.77484130859375,364.2019909749651,357.7393191021612,358.7235712258007,72433900,0.011019270662023128,0.01095900084779678
2021-02-25,355.0093688964844,363.8769599629682,353.5701404616122,362.51200240283123,146670500,-0.02409587309715444,-0.024390928026319474
2021-02-26,353.18011474609375,358.0271036542426,351.20234468696304,356.8850154751008,152701600,-0.00515269260661122,-0.005166013505862404
2021-03-01,361.7413330078125,362.98560406297776,353.3751899411778,358.03645997578053,105348800,0.024240374540547283,0.023951239832267414
2021-03-02,358.9185791015625,362.19633073939394,358.41715856200267,361.964195274004,79595300,-0.007803238526212453,-0.007833843105813122
2021-03-03,354.1643981933594,359.1877840030245,354.06224386816876,358.22212100889243,119940200,-0.01324584790261818,-0.013334356596620498
2021-03-04,349.78167724609375,356.5600204671109,345.30609935501286,353.97867561907805,183433000,-0.012374820760139849,-0.01245202645350991
2021-03-05,356.216552734375,357.26580967154143,346.0118857739026,353.27306228530506,152039600,0.018396834102187398,0.018229659558454132
2021-03-08,354.4429626464844,359.9770636155982,354.1644114525265,357.1728776946545,123149200,-0.004978965952806669,-0.004991402301062616
2021-03-09,359.50360107421875,362.0477969623382,357.7764983032908,358.277918893154,113633600,0.014277722965490902,0.014176756194501369
2021-03-10,361.7413330078125,363.4312860296286,360.43211389392627,361.8434873497362,109899400,0.006224504919859708,0.006205212704050561
2021-03-11,365.4090576171875,367.3775617218999,363.7469598417814,364.201964598063,86245000,0.010139080814676404,0.010088025149780631
2021-03-12,365.9011535644531,366.04042915723414,363.2455378059453,364.0533645809201,64653600,0.0013466988215196096,0.0013457928359635715
2021-03-15,368.0833435058594,368.34333413654235,364.01632494693365,366.15196024634,73427200,0.005963878277366108,0.005946164747977038
2021-03-16,367.6189270019531,369.4017110962296,366.84822156602263,368.69603871329787,73722500,-0.0012617156198453383,-0.001262512253151645
2021-03-17,368.8724670410156,369.6709992628649,365.1954216836132,366.33753812086064,97959300,0.003409889826091028,0.0034040893340637132
2021-03-18,363.50555419921875,368.37110416522074,362.8277084837041,366.2911796002453,115349100,-0.014549507814580531,-0.01465638989130575
2021-03-19,362.8330078125,364.7800131432064,360.6624031983592,363.20563537867605,113624500,-0.001850168116964035,-0.001851881792045433
2021-03-22,365.73016357421875,367.10891663764517,363.28942068287944,363.3453133880508,73778600,0.00798481863374434,0.007953108656538808
2021-03-23,362.85162353515625,366.54068471271836,362.0690971295922,365.0967422553669,90686600,-0.007870666206284516,-0.007901803387400735
2021-03-24,361.0070495605469,365.87923909623805,360.9604817803928,364.248968775631,97588600,-0.0050835489080583995,-0.00509651410093477
2021-03-25,363.0379333496094,363.8297562145069,357.6347344917859,359.57244319585334,116128600,0.005625607011094935,0.005609842380084734
