date,expiry_date,final_pnl,trade_return,equity,drawdown,drawdown_pct
2022-01-03,2022-02-02,-71.51638838461076,-0.04051548054481396,99928.48361161539,0.0,0.0
2022-02-15,2022-03-17,118.13998552673502,0.0557232021710667,100046.62359714213,0.0,0.0
2022-03-30,2022-04-29,-374.4910765177601,-0.16183466537766805,99672.13252062436,-374.49107651776285,-0.0037431655667434782
2022-05-12,2022-06-11,37.90089197828047,0.015375373217851216,99710.03341260264,-336.59018453948374,-0.0033643332722035346
2022-06-27,2022-07-27,-906.3210022682447,-0.34693162031120167,98803.7124103344,-1242.9111868077307,-0.012423319669562893
2022-09-21,2022-10-21,172.73576433091648,0.08119671944111197,98976.44817466532,-1070.1754224768083,-0.01069676700721145
2022-11-02,2022-12-02,-187.08722234994684,-0.08100401682511256,98789.36095231537,-1257.2626448267547,-0.012566767369275533
2024-02-28,2024-03-29,-483.6435825796441,-0.28327099170434267,98305.71736973572,-1740.9062274064054,-0.017400949325551585
2024-08-20,2024-09-19,-976.8217303960455,-0.38093934690703524,97328.89563933968,-2717.7279578024463,-0.027164614457614533
2024-12-27,2025-01-26,-489.5569756415696,-0.22806996115457445,96839.33866369812,-3207.2849334440107,-0.0320579027869925
2025-03-27,2025-04-26,3459.073046656396,1.3132742556593995,100298.41171035451,0.0,0.0
