Date,Close,High,Low,Open,Volume,simple_return,log_return,realised_vol_20d,realised_vol_60d,realised_vol_252d
2021-01-04,342.4369201660156,348.62101162593734,338.7506082823592,348.49100217915696,110210800,,,,,
2021-01-05,344.79541015625,345.88181651795514,341.74979422078724,341.7962383123607,66426200,0.0068873706406744,0.006863761046860846,,,
2021-01-06,346.8568115234375,350.04173174075373,342.743377753376,343.291214067815,107997700,0.0059786218333166,0.00596082078904183,,,
2021-01-07,352.0101623535156,352.75298437501374,349.0481120785787,349.2245372676321,68766800,0.0148572859429918,0.014747997625669421,,,
2021-01-08,354.0158386230469,354.2293850911422,350.1531015213458,353.3937031789076,71677200,0.0056977794508017,0.005681608502055544,,,
2021-01-11,351.6294860839844,353.3844152987946,350.7287994312137,350.84951439553026,51034700,-0.0067408072710652,-0.006763629128712709,,,
2021-01-12,351.70379638671875,352.7159036317569,349.4660070637659,351.8152452148604,52547700,0.0002113312611009,0.00021130893379557922,,,
2021-01-13,352.6509094238281,353.64442764556827,350.8495360073249,351.62950774382404,45303600,0.0026929281026808,0.002689308668259411,,,
2021-01-14,351.4159851074219,353.8952046290148,351.0817236007902,353.39378403221525,49989100,-0.0035018322182237,-0.003507977984489012,,,
2021-01-15,348.8531494140625,350.5987841141442,346.99606590019863,349.80025180486865,107160000,-0.0072928830843479,-0.007319606160974131,,,
2021-01-19,351.59228515625,352.13085517430096,349.828061713451,351.304439515749,51233300,0.007851830338319,0.007821165132557295,,,
2021-01-20,356.4579467773437,357.2936287805517,353.4866015027723,353.87657321374,61836100,0.0138389317016196,0.013744048076151297,,,
2021-01-21,356.7828674316406,357.4421524664681,355.86362018115483,357.01500286554875,47840100,0.0009115259099548,0.0009111107224963596,,,
2021-01-22,355.5200500488281,356.6807271719311,354.5543587480902,354.9350642448892,52860500,-0.0035394563419008,-0.0035457350373227104,,,
2021-01-25,356.9222412109375,357.2750633365752,351.4159661050598,356.25368989697324,70402000,0.0039440564939075,0.003936299093487729,,,
2021-01-26,356.3650817871094,358.2778757163541,356.1329463264064,357.869315038569,42665300,-0.0015610106614197,-0.0015622303079817531,,,
2021-01-27,347.65533447265625,353.14301984374345,345.4268398473695,353.05015999751345,123351100,-0.0244405183324225,-0.024744145208887198,,,
2021-01-28,350.6452331542969,354.6379514307327,349.0295795422171,349.465966970764,94198100,0.0086001806535656,0.008563409773663983,,,
2021-01-29,343.6255187988281,349.7539012035363,341.9541263228981,348.7882096621224,126765100,-0.0200194204618769,-0.020222524311708446,,,
2021-02-01,349.3452453613281,350.3759130211794,343.9132708831619,347.0145966841192,75817600,0.0166452322356436,0.016508218682052097,,,
2021-02-02,354.2851257324219,355.83580306474755,349.42887007201125,352.52090191367535,64450700,0.0141403967470186,0.014041353914914591,0.1723307487586399,,
2021-02-03,354.5636291503906,356.2814368432758,353.2915316437675,355.1114653148641,52427100,0.0007860996630693,0.0007857908485578922,0.17126277093545786,,
2021-02-04,358.5935363769531,358.63995212915546,354.67508910571235,355.59433635934124,47142600,0.0113658223665495,0.0113017166926802,0.17417506724998819,,
2021-02-05,360.0049133300781,360.71061412663744,358.54712432112404,360.4599180558391,48669800,0.0039358683577646,0.003928143091685435,0.16750146548313347,,
2021-02-08,362.60491943359375,362.6513351955174,360.5992654572833,361.45350816726585,38365200,0.0072221406076526,0.00719618584123421,0.16813327083794488,,
2021-02-09,362.3634338378906,362.9577141856532,361.3606211720995,361.769153490128,35551100,-0.0006659744056433,-0.0006661962651050803,0.16567865351868097,,
2021-02-10,362.2055358886719,364.24833897480704,359.80991075751706,364.0997689015568,59154400,-0.0004357447095211,-0.0004358396738348622,0.1657615008981778,,
2021-02-11,362.7905883789063,363.70056961850463,360.3671076846263,363.28271443963257,42913300,0.0016152499955555,0.0016139468823287001,0.1657006236904541,,
2021-02-12,364.5826110839844,364.8240126465975,361.9176727161063,361.9919719175586,50593300,0.0049395512521026,0.00492739169421706,0.16507927237461964,,
2021-02-16,364.2669067382813,366.0033035639086,363.5519398125603,365.80828939947554,50972400,-0.0008659336350805,-0.00086630877218885,0.16188910384181593,,
2021-02-17,364.35052490234375,364.6012209832248,361.5091609681263,362.52129645099154,52290600,0.0002295519096457,0.00022952556663727942,0.16060691984871792,,
2021-02-18,362.7998962402344,363.5427184335589,360.03283114692755,361.7506393479471,59712800,-0.0042558705316123,-0.00426495252562326,0.1554565748180209,,
2021-02-19,362.15911865234375,364.3411973179349,361.71340843442175,364.05335165745737,83241000,-0.0017662011332724,-0.0017677627054652682,0.1557404347147681,,
2021-02-22,359.3734741210937,361.7783935972179,359.10418910793686,359.4013292371553,67414200,-0.0076917696884614,-0.007721503919638663,0.15795688224521512,,
2021-02-23,359.8100280761719,361.156425322424,353.03168275296207,357.1729721740489,107284100,0.0012147639893171,0.0012140267605214715,0.1574751691814116,,
2021-02-24,363.7747802734375,364.2019298681405,357.7392590796617,358.7235110381606,72433900,0.0110190152799918,0.01095874824918569,0.16162023144100254,,
2021-02-25,355.0093688964844,363.8769599629682,353.5701404616122,362.5120024028312,146670500,-0.0240957093572139,-0.024390760243519664,0.16087596333965196,,
2021-02-26,353.1801452636719,358.0271345906392,351.20237503364604,356.8850463128118,152701600,-0.005152606643871,-0.005165927097892261,0.15974536743055787,,
2021-03-01,361.7413635253906,362.9856346855263,353.3752197529631,358.0364901808045,105348800,0.0242403724459856,0.02395123778727711,0.1612051872686569,,
2021-03-02,358.9184875488281,362.1962383505726,358.4170671371704,361.9641029443957,79595300,-0.0078035753198136,-0.007834182548221592,0.15637271626269472,,
2021-03-03,354.1644592285156,359.18784590388924,354.0623048857202,358.22218274333903,119940200,-0.0132454261489267,-0.013333929181544121,0.15709926448192152,,
2021-03-04,349.78173828125,356.5600826850542,345.3061596092031,353.9787373865895,183433000,-0.0123748186275173,-0.012452024294165894,0.1631143401545938,,
2021-03-05,356.2165222167969,357.265779064072,346.0118561305728,353.2730320198999,152039600,0.0183965691495673,0.018229399392037996,0.1715011083166373,,
2021-03-08,354.4429626464844,359.9770636155982,354.1644114525265,357.1728776946545,123149200,-0.0049788807079338,-0.004991316629638335,0.17148459469821445,,
2021-03-09,359.5035705566406,362.0477662287881,357.7764679323232,358.27788847962165,113633600,0.0142776368653807,0.014176671306396407,0.17747556465469466,,
2021-03-10,361.7413635253906,363.43131668977617,360.43214430105473,361.8435178759324,109899400,0.0062246752244632,0.006205381955135469,0.17902341630918703,,
2021-03-11,365.4090576171875,367.3775617218999,363.7469598417814,364.201964598063,86245000,0.0101389955963369,0.010087940786800613,0.18261201316985262,,
2021-03-12,365.9011840820313,366.0404596864284,363.2455681020347,364.0533949443855,64653600,0.0013467823377255,0.0013458762398461293,0.1825916398837061,,
2021-03-15,368.083251953125,368.343242519141,364.0162344057818,366.1518691739952,73427200,0.005963544164439,0.005945832615790384,0.18295999440315674,,
2021-03-16,367.6189880371094,369.4017724273784,366.84828247322,368.6960999272851,73722500,-0.0012613013864448,-0.001262097496532173,0.18300394767081474,,
2021-03-17,368.8724670410156,369.6709992628649,365.1954216836132,366.33753812086064,97959300,0.0034097232316512,0.003403923305748348,0.18329804438071617,,
2021-03-18,363.5056457519531,368.3711969433956,362.8277998657158,366.291271854569,115349100,-0.0145492596184083,-0.014656138030717233,0.19053678391885273,,
2021-03-19,362.83294677734375,364.77995178052817,360.6623425283384,363.205574280837,113624500,-0.0018505874185745,-0.001852301870960662,0.19054799450893914,,
2021-03-22,365.7301635742188,367.1089166376452,363.2894206828794,363.3453133880508,73778600,0.007984988195278,0.00795327687486542,0.1901450524436386,,
2021-03-23,362.8515930175781,366.5406538848724,362.0690666778284,365.0967115489634,90686600,-0.0078707496491644,-0.007901887492245453,0.1926671370722844,,
2021-03-24,361.0070190429688,365.8792081667914,360.9604512667513,364.2489379839986,97588600,-0.0050835493356095,-0.005096514530670346,0.18942177274033056,,
2021-03-25,363.0379333496094,363.8297562145069,357.6347344917859,359.57244319585334,116128600,0.0056256920212371,0.005609926914664851,0.16767430710536618,,
2021-03-26,368.8883056640625,369.2888795951097,363.5875952706098,364.1837937026887,114409100,0.0161150441235549,0.015986575151058998,0.1738570778934043,,
2021-03-29,368.7018737792969,369.60551031662703,365.935071468474,367.4162848468423,108107600,-0.0005053884384597,-0.000505516190241235,0.15373998539392994,,
2021-03-30,367.7237548828125,368.3944957563924,366.1307275395253,367.4349664373488,76262200,-0.0026528720520413,-0.0026563971529115294,0.15088701644061006,,
2021-03-31,369.2143249511719,370.7700812685605,368.2641204047092,368.2920667610857,112734200,0.0040535049709649,0.004045311653329633,0.14094987989402102,0.1553152671087364,
2021-04-01,373.2014465332031,373.2573676676709,370.9377066993824,371.14265609357545,99682900,0.0107989352324251,0.010741043140394722,0.13305510906580376,0.15611453030994388,
2021-04-05,378.55804443359375,379.0983784802134,375.7819453604423,375.8564594894642,91684800,0.01435310058455,0.01425106998113896,0.1277548173592942,0.1580794087168078,
2021-04-06,378.33447265625,379.3778410378448,377.663731778131,377.9991164320186,62021000,-0.0005905878388564,-0.0005907623045490886,0.12501044884308812,0.15567862815406686,
2021-04-07,378.7723388671875,379.1170200378233,377.7103490017058,378.1668155866389,55836300,0.0011573521383427,0.0011566829226524235,0.11829534417143027,0.15539844323784452,
2021-04-08,380.5703430175781,380.6262357329122,379.0891292019,380.0207123636846,57863100,0.0047469257015124,0.004735694577886698,0.11781705616526507,0.15468999805766392,
2021-04-09,383.3370056152344,383.50471212941807,380.3280113007407,380.44912161612,61104600,0.0072697798144729,0.00724348233951867,0.11581480589511023,0.1551457317747606,
2021-04-12,383.4767761230469,383.7469146788607,382.13529455131146,382.7408177148852,56704900,0.0003646152230676,0.0003645487670906027,0.11598495184059558,0.15513863504826125,
2021-04-13,384.6133728027344,385.2375459689583,382.992427357714,383.3743798281407,56551000,0.0029639257197751,0.0029595419519110374,0.11523756502724249,0.15483121478866088,
2021-04-14,383.29986572265625,385.6381198974038,382.7595316211662,384.585426479011,61659900,-0.0034151362718004,-0.003420981160867171,0.11634640073262471,0.1540865649097268,
2021-04-15,387.4173889160156,387.687555926274,385.386544949816,385.433112724498,60229800,0.0107423027284301,0.010685014103790004,0.12024358974627444,0.15469343516697198,
