expiry,time_to_expiry,num_points,rmse_vol,rmse_total_var,butterfly_violations,min_g,min_w,converged,valid,params,warnings
2026-09-08,0.010958904109589,111,0.03175963908420415,0.0001308169527613557,13,-0.2240417812857618,4.115638926648485e-05,True,False,"[1.0000000000000002e-06, 0.010330294301053287, -0.3865348364590879, -0.014100170147325746, 0.004189174940094735]",g(k)<-1e-06 在 13/200 个网格点，蝶式套利
2026-09-09,0.0136986301369863,107,0.021747309648913637,9.230312236740594e-05,14,-0.06493365895276314,0.00011376652843926077,True,False,"[1.0000000000000002e-06, 0.010813578458336307, -0.5835773282023929, -0.022130408811349946, 0.012829989046971796]",g(k)<-1e-06 在 14/200 个网格点，蝶式套利
2026-09-10,0.0164383561643835,107,0.014382087321166892,6.660125528328082e-05,0,0.0013709966139447138,0.00017612671830690305,True,True,"[1.0000000000000002e-06, 0.011416200419962398, -0.7289281429041468, -0.028425364456242528, 0.022397356034567044]",
2026-09-11,0.0191780821917808,154,0.020228183794705226,0.00013879207677002875,0,0.1403679019488106,0.00010036890457416075,True,True,"[1.0000000000000002e-06, 0.012817210971673914, -0.22992466790923236, -0.0016984817606706141, 0.00796044608645681]",
2026-09-14,0.0273972602739726,30,0.00968948246625168,7.074306682252617e-05,0,0.18965025035454805,0.0001926735395130798,True,True,"[1.0000000000000002e-06, 0.012195555929122852, -0.3604096463858278, -0.003948095811340247, 0.016845319666985055]",
2026-09-15,0.0301369863013698,26,0.006597253669264613,4.796693022126577e-05,0,0.09840340975940355,0.0002964363945946948,True,True,"[1.0000000000000002e-06, 0.013441820067663842, -0.726953728282983, -0.024203661877538148, 0.032006154997532746]",
