snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,iv_bid,iv_mid,iv_ask,iv_status,iv_source_type
2026-09-04,2026-09-08,call,670.0,102.45,103.81,95.89,0.0,1.0,773.17,100,103.13,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.1435280837184332,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,103.3619638018822,773.0683295346428,good,,0.42185098948794253,0.7720278945462339,ok,put
2026-09-04,2026-09-08,put,670.0,0.0,0.01,0.01,15.0,22.0,773.17,100,0.005,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1435280837184332,True,,0.4226167714090645,,0.0,669.7063657327606,good,,0.42185098948794253,0.44574394748512036,ok,put
2026-09-04,2026-09-08,put,675.0,0.01,0.02,0.02,0.0,426.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1360931052309152,True,,0.4402426809078307,,0.0,674.7041744322587,good,0.42435511153062894,0.43942146725162373,0.45098846007648075,ok,put
2026-09-04,2026-09-08,put,680.0,0.01,0.02,0.03,0.0,9260.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1287129979332926,True,,0.4182965903668777,,0.0,679.701983131757,good,0.40305315455045093,0.41746829788637785,0.4285409099580112,ok,put
2026-09-04,2026-09-08,put,685.0,0.01,0.02,0.02,0.0,5672.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1213869578412197,True,,0.3964302210223675,,0.0,684.6997918312552,good,0.38183191450199205,0.39559460068153995,0.40617173614732144,ok,put
2026-09-04,2026-09-08,call,690.0,82.47,83.82,71.42,0.0,4.0,773.17,100,83.145,1.3499999999999943,True,,4.0,0.010958904109589,773.4072830881462,-0.1141141985121399,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,83.37072900388944,773.0683295346428,good,,0.3737932890717927,0.6335608024540534,ok,put
2026-09-04,2026-09-08,put,690.0,0.01,0.02,0.01,16.0,228.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1141141985121399,True,,0.3746364948241486,,0.0,689.6976005307533,good,0.36068475918705317,0.3737932890717927,0.3838734950337097,ok,put
2026-09-04,2026-09-08,call,695.0,77.47,78.83,67.26,0.0,8.0,773.17,100,78.15,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.1068939505386529,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,78.37292030439119,773.0683295346428,good,,0.3520566437781503,0.6002405340246494,ok,put
2026-09-04,2026-09-08,put,695.0,0.01,0.02,0.02,4.0,174.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1068939505386529,True,,0.3529077749286369,,0.0,694.6954092302516,good,0.3396044802209976,0.3520566437781503,0.36163806269829946,ok,put
2026-09-04,2026-09-08,call,700.0,72.52,73.77,73.64,7.0,22.0,773.17,100,73.145,1.25,True,,4.0,0.010958904109589,773.4072830881462,-0.0997254610600403,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,73.37511160489294,773.0683295346428,good,,0.3303761714888277,0.5573942199710696,ok,put
2026-09-04,2026-09-08,put,700.0,0.01,0.02,0.02,77.0,405.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0997254610600403,True,,0.3312355676756501,,0.0,699.6932179297498,good,0.31858316523928765,0.3303761714888277,0.339456492781087,ok,put
2026-09-04,2026-09-08,call,705.0,67.48,68.83,64.37,1.0,3.0,773.17,100,68.155,1.3499999999999943,True,,4.0,0.010958904109589,773.4072830881462,-0.0926079932911764,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,68.3773029053948,773.0683295346428,good,,0.30874241495004423,0.5309905750813768,ok,put
2026-09-04,2026-09-08,put,705.0,0.01,0.02,0.02,69.0,200.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0926079932911764,True,,0.309610485335514,,0.0,704.691026629248,good,0.29761201974313983,0.30874241495004423,0.3173188071276456,ok,put
2026-09-04,2026-09-08,call,710.0,62.48,63.84,63.69,5.0,9.0,773.17,100,63.16,1.3600000000000063,True,,4.0,0.010958904109589,773.4072830881462,-0.0855408260680839,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,63.37949420589655,773.0683295346428,good,,0.2871447151329764,0.49768406262642734,ok,put
