snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,iv_bid,iv_mid,iv_ask,iv_status,iv_source_type,moneyness,delta,gamma,vega,theta,rho,vega_per_pct,theta_per_day
2026-09-04,2026-09-08,put,670.0,0.0,0.01,0.01,15.0,22.0,773.17,100,0.005,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1432216550726318,True,,0.4226167714090645,,0.0,669.7063657327606,good,,0.4218509894879425,0.4457439474851203,ok,put,0.8665619697500555,-0.0005335714893469761,5.527515425933727e-05,0.152758769445917,-2.92839417365558,-0.004574502660329376,0.0015275876944591698,-0.008022997736042686
2026-09-04,2026-09-08,put,675.0,0.01,0.02,0.02,0.0,426.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1357866765851137,True,,0.4402426809078307,,0.0,674.7041744322587,good,0.4243551115306289,0.4394214672516237,0.4509884600764807,ok,put,0.8730288501213246,-0.0014340189458116913,0.0001316797526465962,0.37906823036228465,-7.568156829395604,-0.012311524197415236,0.0037906823036228466,-0.020734676244919464
2026-09-04,2026-09-08,put,680.0,0.01,0.02,0.03,0.0,9260.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1284065692874912,True,,0.4182965903668777,,0.0,679.701983131757,good,0.4030531545504509,0.4174682978863778,0.4285409099580112,ok,put,0.8794957304925937,-0.00150313808525655,0.00014468833369744988,0.3957073637605397,-7.503906780057476,-0.012896993818984577,0.0039570736376053975,-0.020558648712486235
2026-09-04,2026-09-08,put,685.0,0.01,0.02,0.02,0.0,5672.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1210805291954182,True,,0.3964302210223675,,0.0,684.6997918312552,good,0.381831914501992,0.3955946006815399,0.4061717361473214,ok,put,0.8859626108638627,-0.0015791391962387041,0.00015971310265761935,0.41391200034458053,-7.435926762740571,-0.01354075655034609,0.004139120003445806,-0.020372402089700196
2026-09-04,2026-09-08,put,690.0,0.01,0.02,0.01,16.0,228.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1138077698663384,True,,0.3746364948241486,,0.0,689.6976005307533,good,0.3606847591870531,0.3737932890717927,0.3838734950337097,ok,put,0.8924294912351318,-0.0016631480114349783,0.0001772023745186569,0.43392847789833955,-7.363764288913183,-0.014252347773078544,0.004339284778983396,-0.020174696681953926
2026-09-04,2026-09-08,put,695.0,0.01,0.02,0.02,4.0,174.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1065875218928515,True,,0.3529077749286369,,0.0,694.6954092302516,good,0.3396044802209976,0.3520566437781503,0.3616380626982994,ok,put,0.8988963716064008,-0.00175655499952825,0.0001977386878079093,0.4560592914294185,-7.286879294721023,-0.015043545265435013,0.004560592914294185,-0.019964052862249376
2026-09-04,2026-09-08,put,700.0,0.01,0.02,0.02,77.0,405.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0994190324142389,True,,0.3312355676756501,,0.0,699.6932179297498,good,0.3185831652392876,0.3303761714888277,0.339456492781087,ok,put,0.90536325197767,-0.0018610993015715429,0.00022209082388965982,0.4806804368367006,-7.204620872041574,-0.015929080183040314,0.004806804368367006,-0.01973868732066185
2026-09-04,2026-09-08,put,705.0,0.01,0.02,0.02,69.0,200.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0923015646453749,True,,0.309610485335514,,0.0,704.691026629248,good,0.2976120197431398,0.3087424149500442,0.3173188071276456,ok,put,0.911830132348939,-0.0019789867032452054,0.000251291219947396,0.5082656120165435,-7.116194077655989,-0.016927636299928318,0.005082656120165435,-0.019496422130564354
2026-09-04,2026-09-08,put,710.0,0.01,0.02,0.02,42.0,2239.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.0852343974222825,True,,0.2880219926251963,,0.0,709.6888353287462,good,0.2766811516849265,0.2871447151329764,0.2952137309107046,ok,put,0.918297012720208,-0.002113060214458233,0.00028675426470010874,0.5394209741513768,-7.020616145191782,-0.018063294904189137,0.0053942097415137676,-0.019234564781347347
2026-09-04,2026-09-08,put,715.0,0.02,0.03,0.03,34.0,143.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0782168247636359,True,,0.2803016958668101,,0.0,714.6866440282445,good,0.2731283583764879,0.2793816861179974,0.2847686810501776,ok,put,0.9247638930914772,-0.0034722166113305285,0.0004614597824833585,0.844595779608213,-10.689746823342222,-0.029685779908836706,0.00844595779608213,-0.02928697759819787
