snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,butterfly_ok
2026-09-04,2026-09-08,put,719.0,0.02,0.03,0.03,4.0,11.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0729444383823984,True,,0.2623088950644054,,0.0,718.684890987843,good,True
2026-09-04,2026-09-08,call,720.0,52.54,53.79,53.67,9.0,13.0,773.17,100,53.165,1.25,True,,4.0,0.010958904109589,773.4072830881462,-0.071554584093344,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,53.38387680690016,773.0683295346428,good,True
2026-09-04,2026-09-08,put,720.0,0.02,0.03,0.03,21.0,137.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.071554584093344,True,,0.2578097619331743,,0.0,719.6844527277426,good,True
2026-09-04,2026-09-08,call,721.0,51.49,52.85,41.79,0.0,3.0,773.17,100,52.17,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.070166658818496,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,52.38431506700044,773.0683295346428,good,False
2026-09-04,2026-09-08,put,721.0,0.02,0.03,0.03,21.0,6.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.070166658818496,True,,0.2533099482428005,,0.0,720.6840144676423,good,True
2026-09-04,2026-09-08,call,722.0,50.49,51.85,43.72,0.0,7.0,773.17,100,51.17,1.3599999999999994,True,,4.0,0.010958904109589,773.4072830881462,-0.0687806572106188,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,51.38475332710084,773.0683295346428,good,True
2026-09-04,2026-09-08,put,722.0,0.02,0.03,0.03,20.0,62.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0687806572106188,True,,0.248809285523251,,0.0,721.6835762075419,good,True
2026-09-04,2026-09-08,call,723.0,49.5,50.85,38.96,0.0,18.0,773.17,100,50.175,1.3500000000000014,True,,4.0,0.010958904109589,773.4072830881462,-0.0673965739446804,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,50.385191587201234,773.0683295346428,good,False
2026-09-04,2026-09-08,put,723.0,0.02,0.03,0.04,11.0,18.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0673965739446804,True,,0.2443076160597865,,0.0,722.6831379474415,good,True
2026-09-04,2026-09-08,call,724.0,48.5,49.85,40.99,0.0,8.0,773.17,100,49.175,1.3500000000000014,True,,4.0,0.010958904109589,773.4072830881462,-0.0660144037177286,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,49.38562984730152,773.0683295346428,good,True
2026-09-04,2026-09-08,put,724.0,0.02,0.03,0.03,155.0,37.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.0660144037177286,True,,0.2398047305909412,,0.0,723.6826996873413,good,True
2026-09-04,2026-09-08,call,725.0,47.5,48.85,41.09,0.0,6.0,773.17,100,48.175,1.3500000000000014,True,,4.0,0.010958904109589,773.4072830881462,-0.0646341412487703,False,below_european_lower_bound,,market_price is below the no-arbitrage lower bound.,48.38606810740191,773.0683295346428,good,True
