snapshot_date,expiry,option_type,strike,bid,ask,last,volume,open_interest,spot,multiplier,mid,spread,quote_valid,invalid_reason,time_to_expiry_days,time_to_expiry,forward,log_moneyness,no_arbitrage_pass,arbitrage_note,iv,iv_error,arb_lower_bound,arb_upper_bound,quality,iv_bid,iv_mid,iv_ask,iv_status,iv_source_type,moneyness,delta
2026-09-04,2026-09-08,put,670.0,0.0,0.01,0.01,15.0,22.0,773.17,100,0.005,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.14322165507263185,True,,0.4226167714090645,,0.0,669.7063657327606,good,,0.4218509894879425,0.4457439474851203,ok,put,0.8665619697500555,-0.0005455737099836799
2026-09-04,2026-09-08,put,675.0,0.01,0.02,0.02,0.0,426.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.13578667658511376,True,,0.4402426809078307,,0.0,674.7041744322587,good,0.4243551115306289,0.4394214672516237,0.4509884600764807,ok,put,0.8730288501213246,-0.0014621960419730488
2026-09-04,2026-09-08,put,680.0,0.01,0.02,0.03,0.0,9260.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.1284065692874912,True,,0.4182965903668777,,0.0,679.701983131757,good,0.4030531545504509,0.4174682978863778,0.4285409099580112,ok,put,0.8794957304925937,-0.0015342800605360552
2026-09-04,2026-09-08,put,685.0,0.01,0.02,0.02,0.0,5672.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.12108052919541827,True,,0.3964302210223675,,0.0,684.6997918312552,good,0.381831914501992,0.3955946006815399,0.4061717361473214,ok,put,0.8859626108638627,-0.0016137169652859315
2026-09-04,2026-09-08,put,690.0,0.01,0.02,0.01,16.0,228.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.11380776986633849,True,,0.3746364948241486,,0.0,689.6976005307533,good,0.3606847591870531,0.3737932890717927,0.3838734950337097,ok,put,0.8924294912351318,-0.0017017387305443962
2026-09-04,2026-09-08,put,695.0,0.01,0.02,0.02,4.0,174.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.10658752189285153,True,,0.3529077749286369,,0.0,694.6954092302516,good,0.3396044802209976,0.3520566437781503,0.3616380626982994,ok,put,0.8988963716064008,-0.0017998742274618188
2026-09-04,2026-09-08,put,700.0,0.01,0.02,0.02,77.0,405.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.09941903241423898,True,,0.3312355676756501,,0.0,699.6932179297498,good,0.3185831652392876,0.3303761714888277,0.339456492781087,ok,put,0.9053632519776699,-0.00191004574256294
2026-09-04,2026-09-08,put,705.0,0.01,0.02,0.02,69.0,200.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.09230156464537499,True,,0.309610485335514,,0.0,704.691026629248,good,0.2976120197431398,0.3087424149500442,0.3173188071276456,ok,put,0.911830132348939,-0.002034705728974778
2026-09-04,2026-09-08,put,710.0,0.01,0.02,0.02,42.0,2239.0,773.17,100,0.015,0.01,True,,4.0,0.010958904109589,773.4072830881462,-0.08523439742228253,True,,0.2880219926251963,,0.0,709.6888353287462,good,0.2766811516849265,0.2871447151329764,0.2952137309107046,ok,put,0.918297012720208,-0.0021770361705050435
2026-09-04,2026-09-08,put,715.0,0.02,0.03,0.03,34.0,143.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.07821682476363598,True,,0.2803016958668101,,0.0,714.6866440282445,good,0.2731283583764879,0.2793816861179974,0.2847686810501776,ok,put,0.9247638930914771,-0.0035749578350444925
2026-09-04,2026-09-08,put,718.0,0.02,0.03,0.03,4.0,32.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.07402979840941937,True,,0.2668075091867556,,0.0,717.6853292479434,good,0.259880444376068,0.2658806037486458,0.2710514761815595,ok,put,0.9286440213142386,-0.0037426310189994875
2026-09-04,2026-09-08,put,719.0,0.02,0.03,0.03,4.0,11.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.07263800973659695,True,,0.2623088950644054,,0.0,718.684890987843,good,0.2554642301392673,0.2613796280755325,0.2664781306086817,ok,put,0.9299373973884923,-0.0038021921636763193
2026-09-04,2026-09-08,put,720.0,0.02,0.03,0.03,21.0,137.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.07124815544754262,True,,0.2578097619331743,,0.0,719.6844527277426,good,0.2510476545076192,0.256878091583485,0.2619040508509573,ok,put,0.9312307734627462,-0.003863747137066434
2026-09-04,2026-09-08,put,721.0,0.02,0.03,0.03,21.0,6.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.06986023017269452,True,,0.2533099482428005,,0.0,720.6840144676423,good,0.2466305633111686,0.2523758342456741,0.2573290685280101,ok,put,0.932524149537,-0.003927401544924187
2026-09-04,2026-09-08,put,722.0,0.02,0.03,0.03,20.0,62.0,773.17,100,0.025,0.0099999999999999,True,,4.0,0.010958904109589,773.4072830881462,-0.06847422856481733,True,,0.248809285523251,,0.0,721.6835762075419,good,0.2422127979924298,0.2478726952452461,0.2527530121011682,ok,put,0.9338175256112539,-0.003993269411480288
