delta_threshold,slippage_bps,final_pnl,max_drawdown,number_of_hedge_trades,cumulative_hedge_turnover,cumulative_hedge_costs,hedge_turnover_ratio,entry_cost,final_option_value,final_hedge_equity
0.0,0.5,594.2875114192607,-277.2102800035841,23,240842.7523803711,14.20213761901855,111.44246857898483,2161.139783166898,1725.2255859375055,1030.201708648653
0.0,1.0,570.2032361812567,-283.9292176317481,23,240842.7523803711,26.24427523803712,111.44246857898483,2161.139783166898,1725.2255859375055,1006.1174334106489
0.0,5.0,377.52903427697674,-337.68071865713273,23,240842.7523803711,122.58137619018555,111.44246857898483,2161.139783166898,1725.2255859375055,813.4432315063692
0.0,10.0,136.68628189660149,-419.66640940103935,23,240842.7523803711,243.00275238037108,111.44246857898483,2161.139783166898,1725.2255859375055,572.6004791259941
1.0,0.5,590.907766472978,-277.2102800035841,22,239732.87762451172,14.136643881225583,110.92890866744918,2161.139783166898,1725.2255859375055,1026.8219637023703
1.0,1.0,566.934478710547,-283.9292176317481,22,239732.87762451172,26.123287762451177,110.92890866744918,2161.139783166898,1725.2255859375055,1002.8486759399394
1.0,5.0,375.1481766109614,-337.68071865713273,22,239732.87762451172,122.01643881225586,110.92890866744918,2161.139783166898,1725.2255859375055,811.0623738403538
1.0,10.0,135.4152989864483,-420.9373923111925,22,239732.87762451172,241.88287762451168,110.92890866744918,2161.139783166898,1725.2255859375055,571.3294962158408
5.0,0.5,495.49768957479364,-316.8411471178383,18,224212.5284423828,13.220626422119139,103.74735136929715,2161.139783166898,1725.2255859375055,931.4118868041861
5.0,1.0,473.0764367305678,-322.99717744619693,18,224212.5284423828,24.431252844238283,103.74735136929715,2161.139783166898,1725.2255859375055,908.9906339599601
5.0,5.0,293.70641397667896,-372.24542007314585,18,224212.5284423828,114.11626422119141,103.74735136929715,2161.139783166898,1725.2255859375055,729.6206112060713
5.0,10.0,69.4938855342798,-461.2015944596428,18,224212.5284423828,226.22252844238278,103.74735136929715,2161.139783166898,1725.2255859375055,505.40808276367227
10.0,0.5,197.526348699565,-452.46412992422256,10,170661.36199951172,10.063068099975586,78.96822007016475,2161.139783166898,1725.2255859375055,633.4405459289575
10.0,1.0,180.46021249961677,-455.39331151601937,10,170661.36199951172,18.596136199951168,78.96822007016475,2161.139783166898,1725.2255859375055,616.374409729009
10.0,5.0,43.93112290001409,-478.8267642503938,10,170661.36199951172,86.86068099975586,78.96822007016475,2161.139783166898,1725.2255859375055,479.84532012940645
10.0,10.0,-126.73023909950734,-508.11858016836186,10,170661.36199951172,172.19136199951168,78.96822007016475,2161.139783166898,1725.2255859375055,309.1839581298851
20.0,0.5,230.60231968955168,-452.4641299242262,8,159952.65307617188,9.437632653808594,74.01309916278528,2161.139783166898,1725.2255859375055,666.5165169189441
20.0,1.0,214.60705438193736,-455.39331151601937,8,159952.65307617188,17.435265307617186,74.01309916278528,2161.139783166898,1725.2255859375055,650.5212516113296
20.0,5.0,86.64493192100599,-478.8267642503938,8,159952.65307617188,81.41632653808594,74.01309916278528,2161.139783166898,1725.2255859375055,522.5591291503983
20.0,10.0,-73.3077211551763,-508.1185801683655,8,159952.65307617188,161.39265307617188,74.01309916278528,2161.139783166898,1725.2255859375055,362.6064760742162
